"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","5,286.17","4,853.35","5,309.67","4,842.00","0.36K","8.92%"
"Oct 27, 2021","4,853.35","5,119.99","5,349.09","4,853.35","0.40K","-5.21%"
"Oct 26, 2021","5,119.99","5,170.00","5,322.49","5,089.04","0.66K","-0.97%"
"Oct 25, 2021","5,170.00","5,029.64","5,234.11","5,018.00","0.39K","2.79%"
"Oct 24, 2021","5,029.64","5,126.63","5,156.99","4,900.00","0.13K","-1.89%"
"Oct 23, 2021","5,126.63","4,909.59","5,144.36","4,850.00","0.15K","4.42%"
"Oct 22, 2021","4,909.59","5,008.10","5,150.00","4,815.82","0.32K","-1.97%"
"Oct 21, 2021","5,008.10","5,017.01","5,250.00","4,888.00","0.82K","-0.18%"
"Oct 20, 2021","5,017.01","4,739.70","5,045.94","4,663.35","0.61K","5.85%"
"Oct 19, 2021","4,739.70","4,636.19","4,759.99","4,614.00","0.25K","2.23%"
"Oct 18, 2021","4,636.19","4,723.22","4,797.82","4,525.01","0.33K","-1.84%"
"Oct 17, 2021","4,723.22","4,719.35","4,795.00","4,452.01","0.15K","0.08%"
"Oct 16, 2021","4,719.35","4,760.22","4,850.00","4,676.40","0.17K","-0.86%"
"Oct 15, 2021","4,760.22","4,657.27","4,789.35","4,425.62","0.59K","2.21%"
"Oct 14, 2021","4,657.27","4,465.31","4,685.00","4,423.00","0.59K","4.30%"
"Oct 13, 2021","4,465.31","4,355.95","4,474.02","4,250.26","0.31K","2.51%"
"Oct 12, 2021","4,355.95","4,339.18","4,370.33","4,194.13","0.21K","0.39%"
"Oct 11, 2021","4,339.18","4,234.87","4,449.54","4,182.00","0.26K","2.46%"
"Oct 10, 2021","4,234.87","4,374.16","4,431.59","4,211.00","0.58K","-3.18%"
"Oct 09, 2021","4,374.16","4,437.68","4,477.64","4,374.16","0.17K","-1.43%"
"Oct 08, 2021","4,437.68","4,472.01","4,541.98","4,417.91","0.82K","-0.77%"
"Oct 07, 2021","4,472.01","4,473.03","4,568.01","4,300.00","0.42K","-0.02%"
"Oct 06, 2021","4,473.03","4,397.90","4,564.00","4,204.35","0.71K","1.71%"
"Oct 05, 2021","4,397.90","4,241.50","4,424.00","4,226.64","0.33K","3.69%"
"Oct 04, 2021","4,241.50","4,229.93","4,318.38","4,062.24","0.31K","0.27%"
"Oct 03, 2021","4,229.93","4,226.35","4,371.25","4,186.61","0.40K","0.08%"
"Oct 02, 2021","4,226.35","4,162.50","4,349.71","4,109.58","0.28K","1.53%"
"Oct 01, 2021","4,162.50","3,813.32","4,250.00","3,785.58","0.98K","9.16%"
"Sep 30, 2021","3,813.32","3,625.66","3,864.59","3,617.94","0.40K","5.18%"
"Sep 29, 2021","3,625.66","3,570.32","3,742.07","3,541.38","0.21K","1.55%"
"Sep 28, 2021","3,570.32","3,700.00","3,757.96","3,550.00","0.83K","-3.50%"
"Sep 27, 2021","3,700.00","3,869.43","3,991.72","3,700.00","0.29K","-4.38%"
"Sep 26, 2021","3,869.43","3,731.84","3,937.35","3,489.49","0.22K","3.69%"
"Sep 25, 2021","3,731.84","3,709.89","3,755.69","3,552.61","0.27K","0.59%"
"Sep 24, 2021","3,709.89","3,989.22","3,998.94","3,459.62","0.73K","-7.00%"
"Sep 23, 2021","3,989.22","3,903.64","4,013.75","3,833.29","0.35K","2.19%"
"Sep 22, 2021","3,903.64","3,526.51","3,923.69","3,481.14","0.35K","10.69%"
"Sep 21, 2021","3,526.51","3,769.11","3,930.83","3,405.03","0.68K","-6.44%"
"Sep 20, 2021","3,769.11","4,200.43","4,220.17","3,755.00","0.81K","-10.27%"
"Sep 19, 2021","4,200.43","4,368.62","4,379.22","4,144.19","0.17K","-3.85%"
"Sep 18, 2021","4,368.62","4,360.87","4,505.82","4,306.72","0.16K","0.18%"
"Sep 17, 2021","4,360.87","4,516.39","4,549.60","4,282.84","0.17K","-3.44%"
"Sep 16, 2021","4,516.39","4,572.03","4,674.97","4,428.37","0.21K","-0.74%"
"Sep 15, 2021","4,550.00","4,339.77","4,550.00","4,274.70","0.30K","4.84%"
"Sep 14, 2021","4,339.77","4,140.28","4,355.96","4,134.92","0.29K","4.82%"
"Sep 13, 2021","4,140.28","4,300.00","4,331.53","3,963.46","0.34K","-3.71%"
"Sep 12, 2021","4,300.00","4,151.33","4,375.00","4,100.00","0.37K","3.58%"
"Sep 11, 2021","4,151.33","4,083.12","4,258.39","4,083.12","0.17K","1.67%"
"Sep 10, 2021","4,083.12","4,354.57","4,449.96","4,012.00","0.36K","-6.23%"
"Sep 09, 2021","4,354.57","4,428.52","4,522.09","4,327.43","0.32K","-1.67%"
"Sep 08, 2021","4,428.52","4,333.59","4,525.00","4,067.70","0.73K","2.19%"
"Sep 07, 2021","4,333.59","4,859.14","4,889.10","3,750.00","1.33K","-10.82%"
"Sep 06, 2021","4,859.14","4,900.16","4,930.50","4,805.00","0.20K","-0.84%"
"Sep 05, 2021","4,900.16","4,838.27","4,909.58","4,737.88","0.13K","1.28%"
"Sep 04, 2021","4,838.27","4,915.78","4,930.50","4,728.77","0.35K","-1.58%"
"Sep 03, 2021","4,915.78","4,759.51","4,965.00","4,651.46","0.48K","3.28%"
"Sep 02, 2021","4,759.51","4,792.54","4,799.00","4,610.20","0.45K","-0.69%"
"Sep 01, 2021","4,792.54","4,319.60","4,799.98","4,266.49","0.76K","10.95%"
"Aug 31, 2021","4,319.60","4,065.38","4,341.87","4,016.33","0.35K","6.25%"
"Aug 30, 2021","4,065.38","4,069.19","4,196.37","3,962.37","0.33K","-0.09%"
"Aug 29, 2021","4,069.19","4,100.59","4,140.44","3,995.36","0.15K","-0.77%"
"Aug 28, 2021","4,100.59","4,114.14","4,146.29","4,053.61","0.15K","-0.33%"
"Aug 27, 2021","4,114.14","3,931.00","4,144.08","3,893.91","0.16K","4.66%"
"Aug 26, 2021","3,931.00","4,055.22","4,079.21","3,840.70","0.28K","-3.06%"
"Aug 25, 2021","4,055.22","3,991.34","4,081.78","3,883.53","0.26K","1.60%"
"Aug 24, 2021","3,991.34","4,105.31","4,162.61","3,922.52","0.51K","-2.78%"
"Aug 23, 2021","4,105.31","4,151.92","4,279.08","4,079.00","0.62K","-1.12%"
"Aug 22, 2021","4,151.92","4,139.21","4,178.15","4,015.54","0.21K","0.31%"
"Aug 21, 2021","4,139.21","4,202.38","4,225.00","4,098.53","0.20K","-1.50%"
"Aug 20, 2021","4,202.38","4,071.15","4,226.15","4,060.53","0.63K","3.22%"
"Aug 19, 2021","4,071.15","3,819.08","4,075.64","3,757.59","0.30K","6.60%"
"Aug 18, 2021","3,819.08","3,806.93","3,945.33","3,713.11","0.28K","0.32%"
"Aug 17, 2021","3,806.93","3,955.01","4,136.88","3,774.02","0.46K","-3.74%"
"Aug 16, 2021","3,955.01","4,139.65","4,175.80","3,940.77","0.17K","-4.46%"
"Aug 15, 2021","4,139.65","4,084.23","4,155.62","3,901.00","0.15K","1.36%"
"Aug 14, 2021","4,084.23","4,162.30","4,169.35","4,016.03","0.17K","-1.88%"
"Aug 13, 2021","4,162.30","3,803.35","4,176.06","3,792.48","0.30K","9.44%"
"Aug 12, 2021","3,803.35","3,952.00","4,059.46","3,728.56","0.32K","-3.76%"
"Aug 11, 2021","3,952.00","3,939.26","4,100.00","3,903.64","0.62K","0.32%"
"Aug 10, 2021","3,939.26","3,970.10","4,048.78","3,825.00","0.31K","-0.78%"
"Aug 09, 2021","3,970.10","3,739.70","3,997.67","3,581.63","0.69K","6.16%"
"Aug 08, 2021","3,739.70","3,968.02","3,987.85","3,678.51","0.27K","-5.75%"
"Aug 07, 2021","3,968.02","3,619.69","3,978.00","3,586.29","0.47K","9.62%"
"Aug 06, 2021","3,619.69","3,521.57","3,695.00","3,375.93","0.52K","2.78%"
"Aug 05, 2021","3,521.92","3,404.86","3,549.58","3,175.00","0.43K","3.44%"
"Aug 04, 2021","3,404.86","3,118.91","3,455.00","3,078.45","0.32K","9.17%"
"Aug 03, 2021","3,118.91","3,246.29","3,261.18","3,043.96","0.25K","-3.92%"
"Aug 02, 2021","3,246.29","3,175.82","3,310.00","3,118.58","0.38K","2.22%"
"Aug 01, 2021","3,175.82","3,144.95","3,319.99","3,118.53","0.31K","0.98%"
"Jul 31, 2021","3,144.95","3,065.70","3,154.27","3,006.32","0.26K","2.59%"
"Jul 30, 2021","3,065.70","2,960.25","3,065.70","2,885.91","0.68K","3.56%"
"Jul 29, 2021","2,960.25","2,868.55","2,998.20","2,836.47","0.30K","3.20%"
"Jul 28, 2021","2,868.55","2,891.15","2,930.00","2,812.29","0.36K","-0.78%"
"Jul 27, 2021","2,891.15","2,789.46","2,910.34","2,681.32","0.35K","3.65%"
"Jul 26, 2021","2,789.46","2,747.47","3,010.00","2,732.18","0.64K","1.53%"
"Jul 25, 2021","2,747.47","2,733.44","2,752.84","2,645.18","0.11K","1.61%"
"Jul 24, 2021","2,703.91","2,661.70","2,713.61","2,642.07","0.08K","1.59%"
"Jul 23, 2021","2,661.70","2,538.37","2,661.70","2,515.57","0.29K","4.86%"
"Jul 22, 2021","2,538.37","2,502.40","2,566.02","2,451.77","0.24K","1.44%"
"Jul 21, 2021","2,502.40","2,259.39","2,543.99","2,225.49","0.33K","10.76%"
"Jul 20, 2021","2,259.39","2,320.00","2,346.99","2,185.54","0.52K","-2.61%"
"Jul 19, 2021","2,320.00","2,394.98","2,413.26","2,301.01","0.23K","-3.13%"
"Jul 18, 2021","2,394.98","2,394.97","2,507.82","2,373.22","0.27K","0.00%"
"Jul 17, 2021","2,394.97","2,374.01","2,413.97","2,339.62","0.37K","0.88%"
"Jul 16, 2021","2,374.01","2,415.27","2,469.57","2,335.00","0.33K","-1.71%"
"Jul 15, 2021","2,415.27","2,497.20","2,552.18","2,368.01","0.15K","-3.28%"
"Jul 14, 2021","2,497.20","2,420.77","2,528.99","2,338.70","0.27K","3.16%"
"Jul 13, 2021","2,420.77","2,546.63","2,547.97","2,400.40","0.32K","-4.94%"
"Jul 12, 2021","2,546.63","2,665.58","2,702.38","2,511.00","0.32K","-4.46%"
